customerKey,itemKey,score,rank,customerName,codMarchio,itemDescription,marchio,reparto,sesso,sport,tipo,vendorItemNo,vendorNo
C06981-3A dei F_lli Antonini S_p_a_,N04-00009233-3A dei F_lli Antonini S_p_a_,7,7,CENTER SPORT DI PASCOLINI VALENTINA,N04,NIKE REVOLUTION 4 EU,NIKE,CALZATURE,UOMO,RUNNING/CORSA,SCARPE,AJ3490-001,F03269
C06623-3A dei F_lli Antonini S_p_a_,N04-00001027-3A dei F_lli Antonini S_p_a_,8,10,SPORTHERE DI MOTTA AMBROGIO,N04,NIKE TEAM HUSTLE D 8 (PS),NIKE,CALZATURE,JUNIOR,TEMPO LIBERO PRIMAVERA,SCARPE,881942-100,F03269
C07502-3A dei F_lli Antonini S_p_a_,N04-00001027-3A dei F_lli Antonini S_p_a_,8,10,DIR SPORT SRL,N04,NIKE TEAM HUSTLE D 8 (PS),NIKE,CALZATURE,JUNIOR,TEMPO LIBERO PRIMAVERA,SCARPE,881942-100,F03269
C07121-3A dei F_lli Antonini S_p_a_,N04-00001024-3A dei F_lli Antonini S_p_a_,7,9,AREA SPORT SRL,N04,NIKE TEAM HUSTLE D 8 (GS),NIKE,CALZATURE,JUNIOR,TEMPO LIBERO PRIMAVERA,SCARPE,881941-100,F03269
C06981-3A dei F_lli Antonini S_p_a_,N04-00001024-3A dei F_lli Antonini S_p_a_,7,9,CENTER SPORT DI PASCOLINI VALENTINA,N04,NIKE TEAM HUSTLE D 8 (GS),NIKE,CALZATURE,JUNIOR,TEMPO LIBERO PRIMAVERA,SCARPE,881941-100,F03269
C07051-3A dei F_lli Antonini S_p_a_,N04-00002835-3A dei F_lli Antonini S_p_a_,9,8,SUPER SPORT DI ADDEVICO,N04,3PPK VALUE COTTON CREW-SMLX,NIKE,ACCESSORI,UOMO,FITNESS/ALLENAMENTO,CALZE,SX4508-101,F03269
C06623-3A dei F_lli Antonini S_p_a_,N04-00002835-3A dei F_lli Antonini S_p_a_,9,7,SPORTHERE DI MOTTA AMBROGIO,N04,3PPK VALUE COTTON CREW-SMLX,NIKE,ACCESSORI,UOMO,FITNESS/ALLENAMENTO,CALZE,SX4508-101,F03269
C07688-3A dei F_lli Antonini S_p_a_,N04-00002835-3A dei F_lli Antonini S_p_a_,9,9,STARSPORT DI PALUMBO FRANCESCO,N04,3PPK VALUE COTTON CREW-SMLX,NIKE,ACCESSORI,UOMO,FITNESS/ALLENAMENTO,CALZE,SX4508-101,F03269
C07284-3A dei F_lli Antonini S_p_a_,N04-00002835-3A dei F_lli Antonini S_p_a_,9,5,MAXI SMALL SRL,N04,3PPK VALUE COTTON CREW-SMLX,NIKE,ACCESSORI,UOMO,FITNESS/ALLENAMENTO,CALZE,SX4508-101,F03269
C07729-3A dei F_lli Antonini S_p_a_,N04-00002835-3A dei F_lli Antonini S_p_a_,9,8,SPORTLANDIA DI PAOLO GUARALDI,N04,3PPK VALUE COTTON CREW-SMLX,NIKE,ACCESSORI,UOMO,FITNESS/ALLENAMENTO,CALZE,SX4508-101,F03269
